name,competent_authority,restricted_activity,remark,penalty,legal_basis,coordinatename,coordinates_of_restricted_area,description_of_restricted_area,sourcewebsite
宜蘭縣南澳地區海域,宜蘭縣政府水域遊憩活動公告,"禁止進入從事海域遊憩活動/
限制僅得於公告活動時間內為之，
游泳限制於有救生服務之戲水區內活動，
衝浪、獨木舟、風浪板不得於戲水區內活動，
禁止其他項目於各該區域活動",,"處新臺幣一萬元以上五萬元以下罰鍰，
並禁止其活動。
具營利性質者，處新臺幣三萬元以上十五萬元以下罰鍰，
並禁止其活動。",水域遊憩活動管理辦法第6條,WGS84,"[24.480224,121.849641],
[24.479599,121.859254],
[24.312948,121.773080],
[24.313261,121.783037],
[24.480224,121.849641]","A1~A4四點範圍
 A1(24.480224,121.849641)
  A2(24.479599,121.859254)
  A3(24.312948,121.773080)
  A4(24.313261, 121.783037)",https://admin.taiwan.net.tw/FileUploadListC003210.aspx?Cond=950015e2-2f1b-4668-bd5d-2c6b718170b4&appname=FileUploadCategory3213
本市轄區（不含陽明山國家公園、東北角暨宜蘭海岸國家風景區、北海岸及觀音山國家風景區）從事風箏衝浪活動限制及活動注意事項,新北市政府水域遊憩活動公告,"除A、B、C之3點連線構成之海域外，禁止從事風箏衝浪活動
有下列情形不得從事活動：
(1)交通部中央氣象局發布本市轄區為海上颱風警報或海上陸上颱風警報之警戒區域時。
(2)交通部中央氣象局發布本市轄區為海嘯警報警戒區域時。
(3)交通部中央氣象局發布本市轄區為大雨特報以上時。
(4)當地平均風力達8級（巨浪）、浪高6公尺以上時。",,"處新臺幣一萬元以上五萬元以下罰鍰，
並禁止其活動。
具營利性質者，處新臺幣三萬元以上十五萬元以下罰鍰，
並禁止其活動。","發展觀光條例第36條。
水域遊憩活動管理辦法第5條、第6條及第9條規定。",WGS84,"[25.17272,121.38745]
,
[25.16038,121.40174]
,
[25.16896,121.41369]","A~C之三點範圍
A(25.17272,121.38745) 
C(25.16038,121.40174)
B(25.16896,121.41369)",https://tour.ntpc.gov.tw/zh-tw/ContentPage/List?wnd_id=37&type=26
本市瑞芳區鼻頭漁港外海域（不包含港埠用地）禁止潛水活動,新北市政府水域遊憩活動公告,禁止潛水活動,,"處新臺幣一萬元以上五萬元以下罰鍰，
並禁止其活動。
具營利性質者，處新臺幣三萬元以上十五萬元以下罰鍰，
並禁止其活動。","發展觀光條例第36條。
水域遊憩活動管理辦法第5條第1項及第6條。",WGS84,"[25.12514,121.91521]
,
[25.12641 ,121.91403]
,
[25.12425,121.91273]
,
[25.12437,121.91307]","A、B點延伸線，與C、D點延伸線之海域
A(25.12514,121.91521) 
B(25.12641,121.91403)  
C(25.12425,121.91273) 
D(25.12437,121.91307)",https://tour.ntpc.gov.tw/zh-tw/ContentPage/List?wnd_id=37&type=26
本市瑞芳區深澳海域（不含深澳漁港區域）禁止從事橡皮艇活動,新北市政府水域遊憩活動公告,禁止從事橡皮艇活動,,"處新臺幣一萬元以上五萬元以下罰鍰，
並禁止其活動。
具營利性質者，處新臺幣三萬元以上十五萬元以下罰鍰，
並禁止其活動。","發展觀光條例第36條。
水域遊憩活動管理辦法第5條第1項及第6條。",WGS84,"[25.13558 ,121.8265]
,
[25.12847, 121.83422]
,
[25.12872,121.81838]
,
[25.12863,121.81883]          
,
[25.11916,121.82425]          
,
[25.13336,121.82341]","A~F六點範圍
A(25.13558,121.8265) 
B(25.12847,121.83422) 
C(25.12872,121.81838) 
D(25.12863,121.81883)         
E(25.11916,121.82425)            
F(25.13336,121.82341)",https://tour.ntpc.gov.tw/zh-tw/ContentPage/List?wnd_id=37&type=26
本市淡水區沙崙沿岸海域為禁止水域遊憩活動區域,新北市政府水域遊憩活動公告,禁止水域遊憩活動,,"處新臺幣一萬元以上五萬元以下罰鍰，
並禁止其活動。
具營利性質者，處新臺幣三萬元以上十五萬元以下罰鍰，
並禁止其活動。","發展觀光條例第36條。
水域遊憩活動管理辦法第5條第1項及第6條。",WGS84,"[25.19511,121.41558]
,
[25.18727,121.40483]","A,B沿海岸線
A(25.19511,121.41558)
B(25.18727,121.40483)",https://tour.ntpc.gov.tw/zh-tw/ContentPage/List?wnd_id=37&type=26
